as-set:         AS-1-IX-V6
members:        AS-SKYLINK
members:        AS-GGT-V6
members:        AS-ZNET-UA
members:        AS44837:AS-ELS-TELECOM
members:        AS44854:AS-ERITAP
members:        AS-UCMA
members:        AS-BELCLOUD
members:        AS-FOGIXP
members:        AS-DIGITURUNC
members:        AS-CORBINA-UA
members:        AS-GRATUS
members:        AS-KLNK
members:        AS-ENTERRA
members:        AS-CRITICALCORE
members:        AS-ASIMO
members:        AS-GALCOM
members:        AS-HHOSTING
members:        AS-49453
members:        AS49559
members:        AS-TUBE
members:        AS-SDS
members:        AS-FINEMEDIA
members:        AS-ACTPA
members:        AS-LSC-IXP
members:        AS-WORLDSTREAM
members:        AS-50073
members:        AS-CAMPUS-RV
members:        AS-UTG-UA
members:        AS-ITSHOSTED
members:        AS51155:AS-CITYLINK-1-IX
members:        AS51314
members:        AS51367:AS-OPTOLAN
members:        AS51396:AS-PFCLOUD
members:        AS-KOPIYKA
members:        AS52025:AS-ALL
members:        AS52074
members:        AS-LOCALKA6
members:        AS54113:AS-FASTLY
members:        AS54994:AS-ALL
members:        AS54994:AS-ALL
members:        AS-SERVERSIDE
members:        AS-FRYS-IX-CONNECTED
members:        AS-THEHOST
members:        AS56584:AS-INTERIX
members:        AS56600
members:        AS-UTELS
members:        AS-GARNET-CH
members:        AS-SOYUZTELECOM
members:        AS-57344
members:        AS-NETIX-NET
members:        AS-ATDS-SERVICES
members:        AS57999
members:        AS-INNETRA
members:        AS-BUKNET
members:        AS-LINKCOM
members:        AS-BUNGALSKI
members:        AS-BALKAN-IX
members:        AS-CDN77
members:        AS-EUROLINE-UA
members:        AS60777
members:        AS-EXASCALE
members:        AS-NETBOX
members:        AS61297:AS-UA
members:        AS-NETRIX
members:        AS62041
members:        AS-PITLINE
members:        AS62403:AS-PLETX
members:        AS64289:AS-MACARNE
members:        AS138915:AS-CUSTOMER
members:        AS139341:AS-ACE
members:        AS-HATANET
members:        AS-KIM
members:        AS-GCORE
members:        AS-DELTAX
members:        AS201814:AS-CLIENTS
members:        AS203345
members:        AS203380:AS-DAGROUP
members:        AS203410:AS-COLOBIX
members:        AS204384
members:        AS-MIT27
members:        AS204619:AS-PRIMO
members:        as-sk-maxnetwork-1
members:        AS-KODDOS
members:        AS-OPENFIBER
members:        AS207994:AS-BCC-NET
members:        AS210896
members:        AS211826:AS-ISTQ
members:        AS212372:AS-COOLNET
members:        AS-ROUTE64
members:        AS214762:AS-MH
members:        AS215248:AS-BASTIAANBRINK
members:        AS215724:AS-EDGEVANA
members:        AS215730:AS-NEXUS
members:        AS-BYTEDANCE
tech-c:         DUMY-RIPE
admin-c:        DUMY-RIPE
mnt-by:         mnt1ix-mnt
created:        2021-08-09T12:14:31Z
last-modified:  2026-01-13T14:13:16Z
source:         RIPE
remarks:        ****************************
remarks:        * THIS OBJECT IS MODIFIED
remarks:        * Please note that all data that is generally regarded as personal
remarks:        * data has been removed from this object.
remarks:        * To view the original object, please query the RIPE Database at:
remarks:        * http://www.ripe.net/whois
remarks:        ****************************
